instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
21048834,82222,NIFTY22AUGFUT,NIFTY,0,2022-08-25,0,0.05,50,FUT,NFO-FUT,NFO
13756162,53735,NIFTY22JULFUT,NIFTY,0,2022-07-28,0,0.05,50,FUT,NFO-FUT,NFO
9604354,37517,NIFTY22SEPFUT,NIFTY,0,2022-09-29,0,0.05,50,FUT,NFO-FUT,NFO
21048578,82221,BANKNIFTY22AUGFUT,BANKNIFTY,0,2022-08-25,0,0.05,25,FUT,NFO-FUT,NFO
13755906,53734,BANKNIFTY22JULFUT,BANKNIFTY,0,2022-07-28,0,0.05,25,FUT,NFO-FUT,NFO
9604098,37516,BANKNIFTY22SEPFUT,BANKNIFTY,0,2022-09-29,0,0.05,25,FUT,NFO-FUT,NFO
21049090,82223,AARTIIND22AUGFUT,AARTIIND,0,2022-08-25,0,0.05,850,FUT,NFO-FUT,NFO
13756418,53736,AARTIIND22JULFUT,AARTIIND,0,2022-07-28,0,0.05,850,FUT,NFO-FUT,NFO
9607170,37528,AARTIIND22SEPFUT,AARTIIND,0,2022-09-29,0,0.05,850,FUT,NFO-FUT,NFO
21049346,82224,ABB22AUGFUT,ABB,0,2022-08-25,0,0.05,250,FUT,NFO-FUT,NFO
13758210,53743,ABB22JULFUT,ABB,0,2022-07-28,0,0.05,250,FUT,NFO-FUT,NFO
9612290,37548,ABB22SEPFUT,ABB,0,2022-09-29,0,0.05,250,FUT,NFO-FUT,NFO
21049602,82225,ABBOTINDIA22AUGFUT,ABBOTINDIA,0,2022-08-25,0,0.05,40,FUT,NFO-FUT,NFO
13758722,53745,ABBOTINDIA22JULFUT,ABBOTINDIA,0,2022-07-28,0,0.05,40,FUT,NFO-FUT,NFO
9612546,37549,ABBOTINDIA22SEPFUT,ABBOTINDIA,0,2022-09-29,0,0.05,40,FUT,NFO-FUT,NFO
21049858,82226,ABCAPITAL22AUGFUT,ABCAPITAL,0,2022-08-25,0,0.05,5400,FUT,NFO-FUT,NFO
13758978,53746,ABCAPITAL22JULFUT,ABCAPITAL,0,2022-07-28,0,0.05,5400,FUT,NFO-FUT,NFO
9619970,37578,ABCAPITAL22SEPFUT,ABCAPITAL,0,2022-09-29,0,0.05,5400,FUT,NFO-FUT,NFO
21050114,82227,ABFRL22AUGFUT,ABFRL,0,2022-08-25,0,0.05,2600,FUT,NFO-FUT,NFO
13759746,53749,ABFRL22JULFUT,ABFRL,0,2022-07-28,0,0.05,2600,FUT,NFO-FUT,NFO
9682690,37823,ABFRL22SEPFUT,ABFRL,0,2022-09-29,0,0.05,2600,FUT,NFO-FUT,NFO
21050370,82228,ACC22AUGFUT,ACC,0,2022-08-25,0,0.05,250,FUT,NFO-FUT,NFO
13760258,53751,ACC22JULFUT,ACC,0,2022-07-28,0,0.05,250,FUT,NFO-FUT,NFO
9682946,37824,ACC22SEPFUT,ACC,0,2022-09-29,0,0.05,250,FUT,NFO-FUT,NFO
21050626,82229,ADANIENT22AUGFUT,ADANIENT,0,2022-08-25,0,0.05,500,FUT,NFO-FUT,NFO
13760514,53752,ADANIENT22JULFUT,ADANIENT,0,2022-07-28,0,0.05,500,FUT,NFO-FUT,NFO
9683202,37825,ADANIENT22SEPFUT,ADANIENT,0,2022-09-29,0,0.05,500,FUT,NFO-FUT,NFO
21050882,82230,ADANIPORTS22AUGFUT,ADANIPORTS,0,2022-08-25,0,0.05,1250,FUT,NFO-FUT,NFO
